review,sentiment
witty. funny. intelligent. awesome. i was flipping channels late one night years ago. came across this and a wildfire started. i was staying up late every night and taping it for everyone i know. a few. like 3 people out of the almost 100 people i made watch this didn't think it was as awesome as i did. the others were laughing out loud so hard they were crying and thanking me at the same time. please do yourself a favor. run don't walk. watch this and enjoy. intelligence and humor. it's a win-win situation. i wish i could have afternoon tea with him and meet the truly rare comedian that we as a society need more of....sanechaos.,positive
I find the critique of many IMDb users a little harsh and in many cases find that they crit the movie from a very professional viewpoint and not that of the guy on the street that wants to sit and watch something just to GET AWAY from it all.<br /><br />In this case however I have to say it was BAD. I am a SciFi junkie and there was NOTHING in this movie that grabbed me for even one second.<br /><br />There was no proper storyline. I may be an idiot but I still do not know where the GOVERNMENT was that was so worried about these pieces.<br /><br />The pathetic attempt by the main character to put together these 3 pieces is scary. Half the time the two pieces were already in place and he simply had to add the third. A 3 year old kid would have been able to put them together.<br /><br />This movie was BAD.<br /><br />Dominic,negative
MAY CONTAIN SPOILERS. This movie was the worst movie ever. I couldn't even watch it all it was so bad. This film is actually worse than scarecrow slayer which is saying a whole lot. This was worse than terror toons which at least terror toons was funny at times. Not even the gore in the film was good. The shootings were fake and the acting was worse. Please do yourself a favor and skip this one. If you see it at the rental store then run the other way. There is nothing good about this film at all. If you want to see a good scarecrow movie then watch Night of the scarecrow or pumpkin head. If you want to see an OK new cheesy movie then watch Scarecrow. I rate this movie a 0.2 out of 10. That's how horrible this film really is. THE WORST MOVIE EVER.,negative
For his first ever debut this film has some riveting and chilling moments. In the best horror film fashion the pit of your stomach tightens every moment during this film. The ending is superb. The makers of Blaire Witch obviously watched this film it's ending wasn't an end but a beginning of the end. A great movie and only a piece of Japan's great as far as scare factor a perfect score it makes you think and scared out of your mind.,positive
This film contain far too much meaningless violence. Too much shooting and blood. The acting seems very unrealistic and is generally poor. The only reason to see this film is if you like very old cars.,negative
Helena Bonham Carter is the center of this movie. She plays her role almost immobile in a wheelchair but still brings across her traditional intensity. Kenneth Branagh was tolerable. The movie itself was good not exceptional. If you are a Helena Bonham Carter fan it is worth seeing.,positive
I thrive on cinema....but there is a limit. A NAME isn't enough to make A MOVIE!. The beginning of the movie puts us in a mood to expect the unseen yet. But we remain hungry ( or angry..) till the end . Things are getting so confused that I admit that I DID NOT UNDERSTAND THE END or was there an end to this nonesense. The opportunity to make an outstanding movie was there but the target was totally missed. Next...,negative
What an empty and lack lustre rendition of the classic novel. I do wish people would stop messing about with classics when they clearly have no idea of the real intention or point of the original. This version is no different. I felt that the Ralph Fiennes version is much worse though as the casting of Juliette brioche as Kathy has got to be the worst casting decision EVER...anyway back to this version. It aims to make the story relevant to a contemporary setting and in a musical style. It succeeds in both but high art it is nit. Throwaway viewing for a rainy day maybe...The direction was average and the editing abysmal. Worse than the old Quincy. Deepak Verma does a great turn as Hindley and is in fact one of Britains wasted talents. The part of Heath was played with great charm and belief and I think that the casting is the strongest point of this project. Although a more talented director would have made better use of the facilities he had. Its clear that he was a director for hire and didn't instill the project with the passion that it deserved.,negative
I gave this a 1. There are so many plot twists that you can never be sure to root for. Total mayhem. Everyone gets killed or nearly so. I am tired of cross hairs and changing views. I cannot give the plot away. Convoluted and insane. If I had paid to see this I would demand my money back. I wish reviews were more honest.,negative
Not an easy film to like at first with both the lead characters quite unlikeable but luckily the heart and soul of the film is Paula Sage's touching performance which drives the film into uncharted waters and transcends the rather awkward storyline. This gives the film a feeling of real truth and makes you think you've seen something special.(7/10),positive
If you watched Pulp Fiction don't see this movie. This movie is NOT funny. This is the worst parody movie ever. This is a poor attempt of parody films.<br /><br />The cast is bad. The film is bad. This is one of the worst pictures ever made.<br /><br />I do not recommend Plump Fiction. I prefer the original Pulp Fiction by the great Quentin Tarantino. This is one of the worst parody films ever made.<br /><br />Plump Fiction is not a good movie. It is not funny. It is so dumb and vulgar.,negative
This unpretentious Horror film is probably destined to become a cult classic. Much much better than 90% of the Scream rip-offs out there! I even hope they come up with a sequel!,positive
This movie has everything typical horror movies lack. Although some things are far fetched we are dealing with quality snow man engineers. The only preview i can reveal is that i cant wait for Jackzilla. Dare i say oscar winner. This is a perfect date movie. I advise all men for a nice romantic surprise see this movie with that special person.,positive
They've shown i twice in a very short time now here in Sweden and I am so very tired of it. The bad acting isn't enough... The story itself is so boring and the effects hardly exists. I love the original from 1953 so I recommend you to go and rent that one instead. Because this one is such a bore.,negative
I have to say this is my favorite movie of all time. I have seen it well over 100 times (actually had to buy a new copy as a result of overwatching) It is what the eighties was like and what a romantic story with a few morals thrown in. I highly recommend to anyone wanting to relive the high schools days again. Buy a copy now it is a classic!!!!,positive
Steven what have you done you have hit an all new low. It is weird since Steven's last film shadow man was directed by the same director who did this trash. Shadow man was good this was diabolically bad so bad it wasn't even funny Steven is hardly in the movie and feels like he is in a cameo appearance and when he is in the film he is dubbed half the time anyway. As for the action well let's just say the wizard of oz had more action than this trash there is hardly any action in the film and when it does finally arrive it is boring depressing badly shot so called action scenes. Seagal hardly kills anyone unlike his over films where he goes one man army ie under siege 1 and 2 and exit wounds. the plot is so confusing with so many plot holes that it doesn't make scenes sometimes. flight of fury better be good what a shame i wasted 5 pounds on this garbage 0 out of ten better luck next time,negative
This movie is an amazing comedy.. the script is too funny.. if u watch it more than once you will enjoy it more. Though the comedy at times is silly but it really makes u laugh!! Salman Khan and Aamir Khan have given justice to their roles. After 1994 i have not come across any hindi movie which was as funny as this.,positive
Send them to the freezer. This is the solution two butchers find after they discover the popularity of selling human flesh. An incredible story with humor and possible allegories that make it much more than a horror film. The complex characters defy superficial classification and make the story intriguing and worthwhile - if you can stand it. Definitely a dark film but also a bit redemptive.,positive
I really cant think of anything good to say about this film...not a single thing. The script is a nightmare.. the writer blurs the line between chemical and biological traits and doesnt seem to understand the difference. You'd think they would at least get a technical advisor. The performances were bad by most of the cast... although I dont really blame them.. the material really stinks. The editing was equally bad.. I'll just stop now.. its all bad 2/10,negative
How can so many blundering decisions can be made. All that waste of resources!Its an idiotic story to begin with but theres no need to make it worse.A loose interpretation? Are you kidding! it diminishes my regard for Voight and Coburn.I hope they were paid well.,negative
I managed to see this at the New York International Film Festival in November 2005 with my boyfriend. We were both quite impressed with the complexity of the plot and found it to be emotionally moving. It was very well directed with strong imagery. The visual effects were amazing - especially for a short. It had an original fantasy approach to a very real and serious topic: This film is about a young girl who is visited by a demon offering to help her situation with her abusive father. There is also a surprise twist at the end which caught me off guard. This leans towards the Gothic feel. I would love to see this as a full feature film. -- Carrie,positive
it got switched off before the opening credits had even finished appearing. The first joke was just so appallingly lame and dreadfully acted that it had to go. You shouldn't really decide to watch this based on my review or not. I saw so little of it I shouldn't even really be commenting but suddenly it all became clear why the video shop guy was sniggering at us paying money to see it.<br /><br />Couldn't they have just made Earnest does Dallas?,negative
This is one of the more unromantic movies I have ever seen.<br /><br />Casting: Richard Gere is just too old looking for romantic lead roles anymore. Diane looks a bit eager to please and frowning as usual but she seems unconvinced by the romance herself. Supporting cast not too memorable.<br /><br />Story: The medical drama he has to deal with is unconvincing and is not interesting. The story is weak - not enough happens to make a movie about. There is nothing new to say or no new way to say it here. <br /><br />The setting is a little bleak and the house it is set in is unattractive. <br /><br />NOT destined to be a great one to remember.,negative
After the highs of darkplace it was never conceivable that Holness and Adobye would be able to create anything half as good as garth marengi. Yet i think that man to man in its own right is as good a show (on the good episodes) as darkplace. i cant argue that 2 of the episodes really are'nt that good but the other 4 certainly make up for it. if i had to pick 2 great episodes id go for formula4 driver Steve Pising (pronounced Pissing) and the great Garth Marengi. to already have a bit of understanding of the programme is a real plus as Dean Learner makes many inside jokes but even if you have'nt seen much Dean id recommend this as some of the rants he launches into are genius ie. His argument with Def Lepord over their name. All in All a great show which just misses full marks because of the couple of less funny episodes.,positive
I saw this movie in a theater while on vacation in Pablo CO. I had just quit my biomedical engineering job at a hospital. I consider the script to be a exaggeration of the real type of stuff that goes on in hospitals. <br /><br />The idiots that put it down on production value don't get the point and probably have never been hospitalized. And never worked in one for sure. Billy Jack (same era) was very poorly produced but had a significant social comment and was a very good movie with a real social message.<br /><br />I have ever since been looking for this movie this is the first site I have found where it get mentioned.,positive
"I kept watching it because it seemed like the plot was going somewhere. When it ambiguously got there I was very disappointed. I'm going to tell you what really happened in the next sentence. But maybe I won't. Maybe I'll just imply something will happen. The writers lacked any imagination. This is not even a ""B"" movie - it's a made for TV ""B"" movie.",negative
The movie itself made me want to go and call someone so they could enjoy it too. It was extremely funny. Angelena Jolie was wonderful as Juliet. The parents are hilarious.They are caterers as well as enemies.The kids play the parts of Romeo and Juliet in the church play.They fall in love and their parents try to keep them apart.(Spoiler Ahead. I think) They sneak off after a party and do it. Surprisingly they still want to get married in the end of the movie. If you don't like stereotypes and the defilement of classic literature don't watch. If you don't mind those you will have a blast watching this one.,positive
i think it is great one of my favourite films as a kid and who said there songs were unforgettable they were mint i can still remember them now WORD FOR WORD the film remains a favourite with my family and my younger cousins are now addicted to it too they even know the songs this film is great and a enjoyable film for kids it has a moral lesson so don't say its not good because it shows how lying gets you nowhere ill leave with a parting comment: this film is amazing love me xxx P.s i would like the soundtrack but i cant and yes the animation is good the jokes are humorous and the action never stops.This film will go down in children's film history and in my opinion one of the only remaining safe films to show children.,positive
This is sad this movie is the tops this should at least be in the top 250 movies here. This is still the best Action movie ever done. The action movies of today are badly done The actors and action directors do not no how to do it fighting and stunts properly. only some no how to do it mostly from Hong Kong like Jackie Chan. The stunts are so clever and wild i do not think we will see the likes of ever. The start where Chan and his team go down the hill car chase through the hill town is just amazing. The end fight stunts are for me the best fight stunts ever put to film. The end stunt sliding down the pole crashing through the glass Jackie was badly hurt.,positive
What a surprise; two outstanding performances by the lead actresses in this film. This is the best work Busy Phillips has ever done and the best from Erika Christensen since Traffic. This film certainly should be in Oscar contention. See this movie!,positive
My husband and I just got done watching this movie. I was not expecting it to be this good! I was really astonished at how great the story line was. I'm usually very good at figuring out twisty plots...but this one had me. I loved it! I'm going to have to watch it again before I take it back. I might even have to buy it. :),positive
What great locations. A visual challenge to all those who put their eye behind the lens.This little jewel is an amazing account of what you can shoot in just 16 days. Good going folks!. I can not wait to see what your next feature will be. I'll be with you all the way.,positive
This is one of the unusual cases in which a movie and the novel on which it is based are both great. Maybe this is because Gorris' takes Nabokov's initial ideas and gives them a different interpretation. The final consequence is a point of view over Luzhin which dignifies him more than the Nabokov's one.<br /><br />The only thing in the movie which I don't like is the influence of Valentinov's on Luzhin's destiny. I can't imagine Nabokov creating a person like Valentinov and giving him so great influence on novel's argument.,positive
I liked this movie a lot. It really intrigued me how Deanna and Alicia became friends over such a tragedy. Alicia was just a troubled soul and Deanna was so happy just to see someone after being shot. My only complaint was that in the beginning it was kind of slow and it took awhile to get to the basis of things. Other than that it was great.,positive
"This movie makes me think the others I've seen with Combs were an accident. The plot had more holes than I think I've ever seen in a movie purporting to be something more than a ""b"" movie. The acting was so laughable that not even the memories of Combs' past campy triumphs were enough to save it. Considering the script I have to imagine that there was not enough money in the budget for things like continuity and original ideas. I am thoroughly upset that I paid Blockbuster prices for this trash. The fact that it was made for television was something that would have helped me avoid this atrocity and frankly something that movies this poor should be required to warn you of. Avoid this movie no matter what.",negative
This is a great film with an amazing cast. Crispen Glover is at his freakiest . His guitar solo is amazing. Also watch out for a cameo by William Burroughs. Truly a cult classic. This is on my top ten list. Don't miss this twisted film.,positive
This is an excellent movie and I wish that they would put it out on DVD for people to purchase. It is difficult to try to catch it on TV all the time. As you do not know when one of the stations will decide to air it. Can someone tell me what file company make it so I can write to them and see if they will release it to the public? I only caught the last hour and a half yesterday and I only got to see it once last year. My sisters and I are all looking for it in every store that sells any videos. John Denver is an excellent singer and actor and the plot line is great. They put out some much older movies and I think that is great but there are quite a few that they have not put out and I think if we could contact the producers and voice our requests we might get some of them put out on DVD.,positive
There was nothing remotely funny about this movie. It makes fun of various sports movies and clichés but nothing about it is remotely funny. Most of the movies they parody doesn't even fit in with the film and are really only their so they can be in it. Non The main actor was well cast in it but that's really the only good thing about this film. Also the various cameos in it were kind of cool to see but i have no idea why they would waste their time being in this piece of garbage. Thank goodness I only spent $4 on it as this is not something worth spending money on. ONly watch if you have absolutely nothing to do or just want to waste an hour and 30 minutes.,negative
It's this sort of movie that you try and imitate. By attempting to realise something... then flying through the air almost immediately. I'd like to do that and I know you would too!<br /><br />Great stuff!,positive
What a drawn out painful experience.<br /><br />That's over two hours of my life I will never get back.<br /><br />This Film Festival Director's delight - is awash with overuse of the long slow shot....however - that's not the only thing that makes a script.<br /><br />Avoid this movie at all costs.,negative
saw this movie and totally loved it the characters are great . it is definitely my kind of movie you do not get bored in this movie i love independent films they are so much more rewarding. my husband and i really enjoyed Jay's style. if you are an open minded person who loves thought provoking films and loves conversation after it's over you will love this film. it is definitely thought provoking.the film definitely will step on some toes but who cares those people will probably not go to see this movie. it is amazing to see the characters evolve . Jay Floyd has really captured both sides of the table. Applause applause Jay i hope you are working on another movie.,positive
i am surprised so few have good words for this movie. For its time (the 80's) it was a very entertaining and engaging story. Casting was good. Story was good. Special effects were remarkable for the time period. Deserving of an 8/10.,positive
I happen to run into this movie one night so I decided to watch it! I was very pleased with the movie... I thought it was a wonderful plot. It's a great feeling knowing a deceased one has come back and you get that second chance to say what you want to say! And this wife stayed devoted for 23 years!!! I thought it was a great movie!!,positive
This is like something I have NEVER seen before. It had me cracking up the whole time I don't think there was one scene that I didn't laugh through. It is about a girl from the country in South who goes off to a big town for college. At the school she befriends the RA across the hall. When she realizes that he has no family to go to for Thanksgiving she invites him to come home with her. Rabecca and her family and her serious boyfriend all go out to dinner one night and Becca realizes what her boyfriend is about to do...Propose. She urges Cral to do something so he stands up and shouts something like... Sorry mate but you are too late I already asked Becca to marry me a couple of weeks ago back at the school and she said yes. That all turns into Chaos. Please watch this classic it is totally worth it... I swear.,positive
"The poet Carne disappears (didn´t he disappeared with Prévert?) and is followed by the judge Carne. The director wants to give his own vision of a youth that he doesn´t understand and he doesn´t want to. It´s a long way from the wonderful ""Les enfants du paradis""!!!!!!!!!!!!!!!!!!",negative
Hated it with all my being. Worst movie ever. Mentally- scarred. Help me. It was that bad.TRUST ME!!!,negative
"I got this thing off the sci-fi shelf because I remembered seeing the first of the series when I was a kid. I'd rented the second one and it was a decent ""B"" sci-fi. This one was out right obnoxious. The ""special"" effects on the cars looked like something my 4 year old cousin could have done. The two assistant female cyborgs were so terrible that I literally cringed every time they came on the screen. The plot left so much to be desired that it made me sick. I don't know what anyone was thinking when they agreed to be a part of this movie but I'm sure that they'd have done better to have left it at 2 movies. The movies in this series are going from good to decent to terrible. I only hope that no terrorist groups have access to this movie as it makes an excellent torturing device.",negative
"A powerful ""real-tv"" movie. Very subversive and therefore remaining almost un-broadcasted ! (almost...thanx 2 arte in France). After you've watched this manhunt all movies filmed with the same concept (a documentary team following the events as they arrived) seem so weak.<br /><br />DAVID",positive
I will divide my review into following 5 categories each accounting a maximum of 100%(if perfect) ________________________________________________________________ <br /><br />Visual Pleasure:[100%] This is extremely pleasing movie visually. I had a great time watching it. Golfing scenes are very well shot and the dramatic effects on the green were quite amazing. I also loved seeing the old wooden golf clubs and the bag.<br /><br />Director's Work:[70%] Bill Paxton is more associated to acting but this film shows he's got talent. Did a decent job.<br /><br />Acting:[90%] Shia LeBeouf was very good in his role of Francis Ouimet(this guy can ACT well). The rest of the cast was also good.<br /><br />Entertainment Value:[100%] I enjoyed every minute of it. It was overwhelmingly entertaining.<br /><br />Script:[91%] Based on a true story and therefore it makes the film that much more special. It was intriguing right from the start and loved every scene till the very end.<br /><br />__________________________________________________________________ <br /><br />My Advice: Definitely a MUST watch for all the Sports lovers especially Golf(You all will love it). Anyone who is looking for a nice entertaining movie and doesn't hate Sports can watch it. <br /><br />_____ <br /><br />10/10,positive
"Ayone who whines about how this movie was crap or that it had no plot must have been looking for ""Jean de Florrette"". HELLO! this film was made to be a random act of comedy and in no way involves a plot in any way shape or form. I would also like to remind these whiners that if you are going to flay the crap out of this film that they seem to be missing the point. This film is clearly made for people who don't appreciate the so called ""american humour"" which seems to me just a pile of smutty crap. The point is everyone has an opinion and you should be a bit more appreciative that some peoples sense of humour may not be in line with your own before shooting your mouth off.<br /><br />Thankyou",positive
The only thing serious about this movie is the humor. Well worth the rental price. I'll bet you watch it twice. It's obvious that Sutherland enjoyed his role.,positive
"An awful B movie at best with video quality similar to Dead Alive. I challenge anyone who is a ""Aliens (James Cameron 1986)"" Movie fan to count how many times either lines or almost entire sequences were ripped off from the first two Alien movies to make this classic piece of garbage.<br /><br />Cast members such as R. Lee Ermey and Ray Wise were the only two actors with any talent and the lead ""Jack Scalia"" was really absolutely horrible. I think they cast him for his massive cleft chin. I was also annoyed with the stereotyping of the only black male on the set John Toles-Bey who must look at this movie and just wonder. Look him up sometime as he has done a lot of interesting movies.<br /><br />But on this movie: The script as I said earlier was a rip-off of Aliens tweaked and turned into a submarine ""thriller"". It included such lines as ""I got a bad feeling about this"" and ""Kill me"" as one crew member is infected by one of the mutants and his belly starts doing the ""alien hop"" just before it pops out of his stomach. There is also a rip-off of the classic ""get some!"" via Bill Paxton. We also have a bunch of navy grunts running through caves with creepy crawlies popping out of walls. Even the explosions of the mutated creatures is very similar to the popping of aliens as they charge marines in the movie ""Aliens"". And the kicker is that some of the mutants spit acid (as opposed to having acid for blood). There are many more major examples. So if you want to see this script done well watch the first two classics Alien and Aliens (With Sigourney Weaver). You'll have a more enjoyable time.<br /><br />The plot could have been interesting and done better if not for confusing sequences in the start of the movie and generally poor editing. Camera shots were pretty dull and honestly it wasn't very hard to stop watching it and walk around the room to get a snack or check email. Many of the interactions between characters made little or no sense and went nowhere more often than not. The whole command structure between crew and Capt. was poorly done. I'm not even sure if there are Captains in the military that have full control over nuclear subs. In general this just shows that there was little research done for background information to make the movie seem at least a little respectable and there are many other similar examples (like dive depth etc..).<br /><br />If you like horrible movies or are a big fan of Alien and Aliens and want something to just laugh and shake your head at then this movie may be for you. As for me this one is going back on the shelf...permanently.",negative
The film had many fundamental values of family and love. It expressed human emotion and was an inspiring story. The script was clear( it was very easy to understand making it perfect for children)and was enjoyable and humorous at times. There were a few charged symbols to look for. The cinematography was acceptable. There was no sense of experimentation that a lot of cinematographers have been doing today(which quiet frankly is getting a little warn out). It was plainly filmed but had a nice soft quality to it. Although editing could have been done better I thought it was a nice movie for a family to enjoy. And the organization of information was just thrown at you which was something I didn't like either but in all it was a good movie.,positive
"The best movie about friendship! Especially between an AIDs infected person and a "" normal "" person. This is a great movie for everyone to see even though there is strong language used. I have seen it 25 times.",positive
This film was absolutely...ugh i can't find the word oh wait... crap! I mean when it started i was like yeah this looks good and then after it was so boring. I nearly fell asleep and it had nothing to do with the fact that i caught a late showing because it was utter filth. Ram Gopal Varma has tried his best but the cast could never live up to the cast of the original Sholay i mean what was he thinking doing a remake. What was he trying to do? Be like Sanjay Leeli Bhansani and win all the awards next year like he did for Black? Ajay and that other guy were good especially the other guy who played raj because out of all of them he was the one to look at. What was Amitabh doing? He's destroying his own dignity by doing all these stupid films. First Nishabd then Cheeni Kum then Jhoom Barabar Jhoom and now this i mean hes got to gather a bit of his money and move as far away from Bollywood as possible before he loses all his respect and I'm telling you he's already past half his way. I mean all this is really good for the other actors like Shah Rukh Khan who's getting a really good name now because of the recent downfall of Amitabh. I never really liked him because he thinks he's God and i just knew Abhishek was going to be in that movie. <br /><br />If you want to save your £17.75 and spend it on something good go watch Heyy Babyy because that's just the funniest movie ever and it's number one in the charts!,negative
Rajkumar Santoshi Without Any Doubt Has Directed The Greatest Movies And Biggest Box Office Hits Of Indian Cinema.<br /><br />This Movie Falls Short Of All Expectations As This Movie Stars Two Great Actors Mr. Amitabh Bachchan And Akshay Kumar And When You Have These Two Actors In The Same Movie You Have To Make A Magnum Opus.<br /><br />In The Later Part Of The Movie You Can Make Out That Amitabh Bachchan's Voice Has Been Dubbed By Some Other Person Which Was Due To His Illness.<br /><br />Still The Movie Did'nt Had Proper Character Development Plus Cinematography Was'nt Good Too And One Thing That Bollywood Should Learn Is That They Should Use Visual Effects Only When It Is Needed And When Applied Should Be Done With A High Budget.The Script Had So Many Flaws Which Gives The Viewer Excuses To Attend His Phone Calls Rather Than Watching The Movie.<br /><br />The New Comer Shakes The Leg Well But Could Not Act Well But Where The Movie Loses Big Time Is The Storyline Screenplay And Cinematography.<br /><br />A Talented Actor Like Bhoomika Chawla Has Been Wasted In The Movie As Well As Sushant Singh.<br /><br />But Every Director Once In A While In His Career Makes A Bad Film.<br /><br />So Watch It Only If You Are A Fan Of Multi-Starrer Flop Movies.,negative
Excellent writing and wild cast. The tech is poor but it's obviously very low budget. Looks like they didn't cut the negative but had to release on a video output. In any case one of the most inventive comedies I've seen lately. The screenwriter in particular is fine.,positive
Wonderful film that mixes documentary and fiction in a way that makes the spectator question: what is the extent of truth in documentary films or is there such a thing as an objective documentary.,positive
"I just love this film it totally rocks! Nicolas Cage looks hot and Tommy does not! I definitely feel that Fred and Randy should have had a little more time together on screen cause they're totally cool. My favorite part is when he says ""Peter Piper Picked A Pepper I guess I Did!""",positive
Saw the move while in Paris in May 2006 ... I was debating between that and mission impossible...I am very glad I choose OSS 117 not only because it was funny but might as well watch a FRench movie while in France. I had a great time... would recommend it. It is important to have some understanding the French society of Today to really enjoy the humor of this movie ... cannot wait for the DVD to come out... I don't know how some of the 'jeu De mots' 'puns' would be translated in English I 'll certainly buy it when it is out! P.S. I saw on 'BRice de Nice' which is a movie starring Dujardin that all kids were talking about in France. this movie is a comedy but sillier than one can imagine...in comparing both movies I have to say that Dujardin did a good job in OSS 117.,positive
i completely agree with jamrom4.. this was the single most horrible movie i have ever seen.. holy crap it was terrible.. i was warned not to see it..and foolishly i watched it anyway.. about 10 minutes into the painful experience i completely gave up on watching the atrocity..but sat through until the end..just to see if i could.. well i did and now i wish i had not..it was disgusting..nothing happened and the ending was all preachy..no movie that bad has the right to survive..i implore all of you to spare yourself the terror of fatty drives the bus..if only i had heeded the same warning..please save yourself from this movie..i have a feeling those who rated it highly were involved in the making of the movie..and should all be wiped off the face of the planet..,negative
"My favourite police series of all time turns to a TV-film. Does it work? Yes. Gee runs for mayor and gets shot. The Homicide ""hall of fame"" turns up. Pembleton and nearly all of the cops who ever played in this series. A lot of flashbacks helps you who hasn´t seen the TV-series but it amuses the fans too. The last five minutes solves another murder and at the very end even two of the dead cops turn up. And a short appearance from my favourite coroner Juliana Cox. This is a good film.",positive
